100
Item,Value,Weight
1,63,20
2,76,5
3,29,78
4,73,72
5,41,67
6,62,18
7,67,80
8,99,76
9,31,58
10,85,94
11,33,84
12,79,81
13,60,99
14,50,74
15,24,29
16,53,28
17,44,31
18,97,13
19,79,48
20,48,29
21,92,81
22,59,71
23,64,64
24,14,35
25,36,54
26,56,81
27,94,96
28,25,28
29,97,27
30,62,48
31,48,92
32,68,77
33,34,58
34,60,55
35,68,94
36,71,54
37,77,15
38,93,21
39,54,17
40,61,52
41,53,81
42,33,89
43,61,6
44,10,15
45,44,75
46,16,30
47,60,10
48,89,2
49,67,7
50,15,95
51,51,81
52,79,21
53,36,25
54,45,59
55,81,5
56,16,73
57,66,71
58,42,13
59,44,33
60,18,96
61,58,57
62,98,28
63,29,68
64,87,22
65,72,96
66,75,47
67,57,52
68,46,84
69,72,54
70,30,96
71,55,6
72,38,87
73,79,27
74,42,45
75,93,92
76,27,18
77,29,27
78,51,94
79,19,29
80,68,97
81,74,95
82,24,12
83,55,78
84,10,64
85,59,67
86,50,80
87,24,11
88,76,11
89,12,24
90,98,90
91,34,10
92,67,56
93,23,61
94,90,90
95,12,34
96,56,51
97,23,94
98,78,36
99,12,45
100,55,24
